Event number,Date,Finishers,Volunteers
811,19/10/2019,1123,57
810,12/10/2019,1096,58
809,05/10/2019,1838,67
808,28/09/2019,1329,52
807,21/09/2019,1388,60
806,14/09/2019,1386,55
805,07/09/2019,1417,55
804,31/08/2019,1583,51
803,24/08/2019,1354,48
802,17/08/2019,1381,58
801,10/08/2019,1194,51
800,03/08/2019,1459,50
799,27/07/2019,840,53
798,20/07/2019,1231,51
797,13/07/2019,1261,48
796,06/07/2019,1365,63
795,29/06/2019,1337,56
794,22/06/2019,1414,52
793,15/06/2019,1421,57
792,08/06/2019,1265,57
791,01/06/2019,1515,52
790,25/05/2019,1396,49
789,18/05/2019,1437,52
788,11/05/2019,1421,57
787,04/05/2019,1529,47
786,27/04/2019,1274,56
785,20/04/2019,1516,52
784,13/04/2019,1232,45
783,06/04/2019,1304,46
782,30/03/2019,1422,48
781,23/03/2019,1377,51
780,16/03/2019,1234,62
779,09/03/2019,1371,51
778,02/03/2019,1430,51
777,23/02/2019,1459,48
776,16/02/2019,1291,56
775,09/02/2019,1317,49
774,02/02/2019,1267,59
773,26/01/2019,1379,60
772,19/01/2019,1514,58
771,12/01/2019,1626,53
770,05/01/2019,1505,70
769,01/01/2019,1156,44
768,29/12/2018,1405,47
767,25/12/2018,2011,52
766,22/12/2018,1310,48
765,15/12/2018,1107,54
764,08/12/2018,1203,47
763,01/12/2018,697,47
762,24/11/2018,1118,49
761,17/11/2018,1325,57
760,10/11/2018,1280,53
759,03/11/2018,1436,55
758,27/10/2018,1271,48
757,20/10/2018,1274,56
756,13/10/2018,1266,57
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
